,high,close,low,volume,open,adjclose
1984-12-01,0.13895100355148315,0.11049100011587143,0.11049100011587143,11099804800,0.13002200424671173,0.0867333710193634
1985-03-01,0.11607100069522858,0.07756700366735458,0.07533500343561172,12122745600,0.11049100011587143,0.06088867411017418
1985-06-01,0.08258900046348572,0.06696400046348572,0.06473200023174286,10230729600,0.07589299976825714,0.052565522491931915
1985-09-01,0.09263399988412857,0.0898440033197403,0.06584800034761429,8467784904,0.06696400046348572,0.07052584737539291
1985-12-01,0.11941999942064285,0.11160700023174286,0.0859379991889,13283872000,0.0898440033197403,0.08760938793420792
1986-03-01,0.16741099953651428,0.16517899930477142,0.10825899988412857,13681068800,0.11160700023174286,0.12966246902942657
1986-06-01,0.17466500401496887,0.16517899930477142,0.13392899930477142,13398515200,0.16517899930477142,0.12966246902942657
1986-09-01,0.1841520071029663,0.17857100069522858,0.141183003783226,11768400000,0.16573700308799744,0.14017486572265625
1986-12-01,0.31863799691200256,0.3125,0.17466500401496887,19647667200,0.17857100069522858,0.24530671536922455
1987-03-01,0.3671880066394806,0.3526790142059326,0.2779020071029663,16611436800,0.313616007566452,0.27684643864631653
1987-06-01,0.484375,0.48214301466941833,0.32589301466941833,9687092800,0.3549109995365143,0.3790493905544281
1987-09-01,0.533482015132904,0.29464301466941833,0.2466520071029663,13885424000,0.4888390004634857,0.23194080591201782
1987-12-01,0.4129459857940674,0.3839290142059326,0.265625,14292331200,0.29910698533058167,0.3028850555419922
1988-03-01,0.4263390004634857,0.3705359995365143,0.33370500802993774,10818539200,0.3861609995365143,0.2928958833217621
1988-06-01,0.42410698533058167,0.3560270071029663,0.3504459857940674,8374464000,0.3705359995365143,0.28198373317718506
1988-09-01,0.3950890004634857,0.3359380066394806,0.3169640004634857,9563836800,0.3549109995365143,0.26657432317733765
1988-12-01,0.39285698533058167,0.3236609995365143,0.31473198533058167,15178172800,0.3370540142059326,0.2575100064277649
1989-03-01,0.4375,0.4263390004634857,0.29910698533058167,13079483200,0.3236609995365143,0.3401374816894531
1989-06-01,0.4486609995365143,0.3973209857940674,0.3370540142059326,10982216000,0.4263390004634857,0.3176810145378113
1989-09-01,0.4497770071029663,0.3950890004634857,0.3794640004634857,8670838400,0.3973209857940674,0.31664615869522095
1989-12-01,0.40848198533058167,0.3035709857940674,0.28683000802993774,12172574400,0.3973209857940674,0.24389800429344177
1990-03-01,0.3950890004634857,0.3683040142059326,0.296875,12314579200,0.29910698533058167,0.2968595325946808
1990-06-01,0.4263390004634857,0.33035698533058167,0.29910698533058167,11244206400,0.36941999197006226,0.26701241731643677
1990-09-01,0.34375,0.328125,0.21651799976825714,10517673600,0.32589301466941833,0.26600998640060425
